CNS,Dat. Instalação,Denominação,Tipo,Atribuições,Status,Situação jurídica da serventia,Data decisão,UF,Cidade,E-mail contato,Dat. ingresso responsável,Responsável,Substituto
03.220-1,15/11/1948,1º Tabelionato de Notas,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,PASSA TEMPO,cartoriolara@hotmail.com,2024-07-15,CéLIO DE REZENDE LARA,-
03.221-9,28/05/1990,1º Tabelionato de Notas e Protesto de Títulos de Carlos Chagas,Oficializada,Notas / Protesto de Títulos,Ativo,PROVIDO,27/08/2010,MG,CARLOS CHAGAS,cartoriojardim@hotmail.com.br,1990-05-22,ADEMAR JARDIM FERREIRA,-
03.222-7,17/01/1918,1º TABELIONATO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,CAMPESTRE,cartoriojc@hotmail.com,2008-02-26,JOÃO CARLOS SARTINI SILVEIRA,BRAULIO ALMEIDA FERREIRA OLIVEIRA DE ALMEIDA
03.223-5,30/04/1955,Cartório Cunha - 1º Ofício de Notas de Mateus Leme/MG,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,MATEUS LEME,saullocunha@hotmail.com,2007-08-10,SAULLO NASCIMENTO CUNHA,THAIRIANI GRACIELLI ALMEIDA FONSECA NOGUEIRA
03.224-3,22/02/1883,TABELIONATO VEIGA,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,SAO JOAO NEPOMUCENO,tabelionatoveiga@gmail.com,2024-07-11,CARLOS QUINTINO DE MATOS VEIGA,SÉRGIO LUÍS BENETTI
03.225-0,12/11/2007,1º Tabelionato de Notas de Cruzília/MG,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,CRUZILIA,jhemeterio@hotmail.com,2007-11-12,JANINE HEMETéRIO DAHER,-
03.226-8,13/04/1892,1º TABELIONATO DE NOTAS,Oficializada,Notas,Ativo,PROVIDO,17/04/2024,MG,SACRAMENTO,cartorio@cartorio1sacramento.com.br,2024-12-07,FELIPE PIRES LOPES DE BARROS,-
03.227-6,02/01/1918,Ofício do 1º Tabelionato de Notas,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,ANDRADAS,risso@andradas-net.com.br,2024-07-08,ALFREDO DOMINGOS RISSO,GILBERTO DA SILVA
03.228-4,20/09/1880,1º Tabelionato de Notas da Comarca de Entre Rios de Minas,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,ENTRE RIOS DE MINAS,cartorioaarao@yahoo.com.br,2024-07-04,FÁBIO ANANIAS AARÃO MAIA,ANA PAULA LOURENçO
03.229-2,18/07/1995,1º TABELIONATO DE NOTAS DA COMARCA DE MONTE BELO,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,MONTE BELO,primeiroserviconotarial@gmail.com,2007-07-11,DIMAS BIRGER BENGTSON,-
03.231-8,10/04/1908,1º Tabelionato de Notas de Guaranésia-MG,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,GUARANESIA,cartorioguaranesia@bol.com.br,2024-07-23,ROGERIO FRANCO BATISTA,-
03.232-6,19/01/1917,1º Tabelionato de Notas de Guaxupé,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,GUAXUPE,tabelionatoguaxupe@tabelionatoguaxupe.com.br,2024-07-15,ROSALVA CéLIA SIQUEIRA BALOTTA,MATHEUS SIQUEIRA BALOTTA
03.233-4,01/01/1835,1º Tabelionato de Notas de Martinho Campos,Privatizada,Notas,Ativo,PROVIDO,10/06/2021,MG,MARTINHO CAMPOS,notas1oliveira@gmail.com,2024-07-15,RAFAEL ANTUNES DE OLIVEIRA,-
03.237-5,02/07/1962,1º TABELIONATO DE PROTESTO DE TÍTULOS,Oficializada,Protesto de Títulos,Ativo,PROVIDO,02/06/2021,MG,PRADOS,cartorioprotesto.pradosmg@gmail.com,2024-07-09,DIEGO MASCARENHAS OLIVA,SUZY CARVALHO CHAMONE
03.239-1,31/05/1965,1º TABELIONATO DE PROTESTO DE TITULOS DE BELO HORIZONTE,Privatizada,Protesto de Títulos,Ativo,PROVIDO,12/07/2010,MG,BELO HORIZONTE,contato@1protestobh.com.br,2024-07-11,LUIZ MÁRCIO FERREIRA DE CARVALHO,CLEIDES DE MELLO PARREIRA
03.240-9,05/01/1927,1º TABELIONATO DE PROTESTOS DA COMARCA DE JUIZ DE FORA MG,Privatizada,Protesto de Títulos,Ativo,PROVIDO,27/08/2010,MG,JUIZ DE FORA,primeiroprotestojf@gmail.com,2024-07-09,CARLOS ALBERTO TEIXEIRA DA SILVA,ALEXANDRE PEIXOTO
03.241-7,02/01/1995,1º TABELIONATO DE PROTESTOS DE ARINOS,Privatizada,Protesto de Títulos,Ativo,PROVIDO,07/06/2021,MG,ARINOS,protestoarinos@gmail.com,2024-07-15,KLEIBER DE CASTRO,-
03.242-5,22/08/1919,1º Tabelionato de Protestos de Títulos,Privatizada,Protesto de Títulos,Ativo,VAGO,17/06/2024,MG,FERROS,cartoriodeprotesto.ferros.mg@gmail.com,2024-07-17,BENEDITO ORLANDO DE OLIVEIRA,-
03.243-3,11/01/1954,2 Ofício de Registro de Títulos e Documentos,Privatizada,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,MG,BELO HORIZONTE,2rtdbh@rtdbh.com.br,2024-01-04,GETULIO SERGIO DO AMARAL,JOSé LUIZ NOGUEIRA
03.244-1,24/09/1959,2 TABELIONATO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,27/08/2010,MG,RIO PARANAIBA,mrlmacedo@gmail.com,2024-07-13,MARLENE ALVES DE RESENDE MACEDO,-
03.245-8,18/02/1926,2º Ofício de Registro de Imóveis de Belo Horizonte,Privatizada,Registro de Imóveis,Ativo,PROVIDO,04/09/2025,MG,BELO HORIZONTE,cartorio@2ribh.com.br,2024-11-01,CAMILA CAIXETA CARDOSO PORTO,LEYDIANE DE OLIVEIRA BARRETO
03.246-6,14/01/1965,Ofício do Segundo Registro de Imóveis de Barbacena MG,Privatizada,Registro de Imóveis,Ativo,PROVIDO,01/04/2013,MG,BARBACENA,segundocribarbacena@gmail.com,2024-07-09,FLáVIO AUGUSTO SILVA DE OLIVEIRA COSTA,MARIA CECíLIA FERES DA SILVA
03.249-0,03/08/1956,TABELIONATO DO 2º OFICIO DE NOTAS DE SGS,Privatizada,Notas,Ativo,PROVIDO,01/04/2013,MG,SAO GONCALO DO SAPUCAI,tabelionato2notas@yahoo.com.br,2024-07-30,SILBERTH STEFFANY DE SOUZA,KLEIDE PAPINI RODRIGUES
03.251-6,15/02/1971,2º Ofício de Notas,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,SAO LOURENCO,segundooficio@yahoo.com.br,2007-08-07,JOSé DAILTON DE CARVALHO,MARCELA VIEIRA MOTA DE CARVALHO E SILVA
03.252-4,15/11/1948,2º OFÍCIO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,CAXAMBU,fabianocosta2003@gmail.com,1990-06-04,FABIANO COSTA NOGUEIRA DE SÁ,-
03.253-2,21/05/1927,Cartorio Segundo Oficio de Notas,Oficializada,Notas,Ativo,PROVIDO,07/11/2011,MG,SABINOPOLIS,CAR2SABINOPOLIS@HOTMAIL.COM,2024-01-04,MARLENE TEREZINHA ARAUJO,MARIA ISABEL DE ARAúJO ABREU
03.254-0,22/06/1865,Cartório Castro Oliveira,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,MURIAE,cartoriocastrooliveira@hotmail.com,2024-07-10,RAFAEL GUSTAVO DE CASTRO OLIVEIRA,-
03.255-7,02/12/2002,CARTÓRIO DO 2º OFÍCIO DE NOTAS DE BRUMADINHO,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,BRUMADINHO,cartoriomoreira@hotmail.com,2024-07-12,MARIA DO CARMO MOREIRA,-
03.256-5,07/08/1955,2º OFÍCIO DE NOTAS DE UNAÍ-MG,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,UNAI,segundo.oficio@uol.com.br,2007-08-17,RODRIGO GIURIZATTO MARTINS,-
03.257-3,25/06/1965,2º Registro de Imóveis de Uberlândia,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,MG,UBERLANDIA,atendimento@2riuberlandia.com.br,1987-06-22,LUIZ EUGêNIO DA FONSECA,MELISSA SOARES FONSECA
03.258-1,12/03/1885,2º SERVIÇO NOTARIAL,Oficializada,Notas,Ativo,VAGO,04/07/2024,MG,ARAGUARI,segundooficioaraguarimg@hotmail.com,2024-07-18,MARIA GLÓRIA DA CUNHA ALVES,-
03.260-7,04/12/1926,2º Serviço Notarial,Privatizada,Notas,Ativo,PROVIDO,08/06/2021,MG,MUZAMBINHO,tabelionatomuzambinho@gmail.com,2024-07-19,CLEBER HENRIQUE BUENO,TATIANA PEDROSA DE CARVALHO
03.261-5,10/04/1908,2º Cartório de Notas Guaranésia,Privatizada,Notas,Ativo,PROVIDO,10/06/2021,MG,GUARANESIA,contato@cartorioguaranesia.com.br,2018-02-09,DIEGO FRANCISCO,CARINA ARAúJO LIMA
03.262-3,01/01/1926,2º SERVIÇO NOTARIAL DE GUAXUPÉ,Oficializada,Notas / Protesto de Títulos,Ativo,PROVIDO,12/07/2010,MG,GUAXUPE,cartoriogpe@hotmail.com,2024-07-15,ELOÍSA HELENA ROMEIRO MARQUES,-
03.263-1,05/04/1971,Ofício do 2º Registro de Imóveis da Comarca de Governador Valadares/MG,Privatizada,Registro de Imóveis,Ativo,PROVIDO,01/04/2013,MG,GOVERNADOR VALADARES,contato@2rigv.com.br,2012-12-03,JACINTA DE LOURDES DE FARIA COSTA,MOISéS FERREIRA COSTA
03.264-9,13/01/1892,TABELIONATO DE NOTAS DE MINAS NOVAS,Oficializada,Notas,Ativo,PROVIDO,07/06/2021,MG,MINAS NOVAS,cart2notasmn@gmail.com,2024-07-15,JOSÉ MARIA DO ROSÁRIO,MARCO AURéLIO MOTA PEREIRA
03.266-4,23/03/1927,2º Tabelionato de Notas,Privatizada,Notas,Ativo,PROVIDO,03/10/2010,MG,ELOI MENDES,cartorio2oficioem@hotmail.com,2024-08-06,WEBER PELEGRINETI REZENDE VALIAS,FáBIO AUGUSTO DA SILVA CALIL
03.267-2,08/07/1929,2º Tabelionato de Notas e Protesto de Títulos Bocaiúva,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,04/09/2025,MG,BOCAIUVA,2notprotbocaiuva@gmail.com,2024-11-01,JACQUELINE SANTANA DE OLIVEIRA CARVALHO,LíGIA MAGNA DE ARAÚJO
03.268-0,30/06/1882,2º Tabelionato de Notas,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,CARANGOLA,tabelionato.notas@hotmail.com,2024-07-12,DANILO MACHADO DE MENDONçA,-
03.269-8,26/09/1955,2º TABELIONATO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,PRESIDENTE OLEGARIO,segundotabelionatopo@yahoo.com,2024-07-15,CELSO DO CARMO VIDA,CARLA CRISTINA ALVES OLIVEIRA
03.271-4,20/12/1942,CARTÓRIO DO 2º TABELIONATO DE NOTAS,Oficializada,Notas,Ativo,PROVIDO,10/12/2024,MG,POUSO ALEGRE,cartorio@2oficiopa.com.br,2012-12-03,HUMBERTO LIBÂNIO DA SILVEIRA SANTOS,-
03.272-2,19/12/2002,CARTÓRIO DE NOTAS 2º OFÍCIO DA COMARCA DE POMPÉU,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,POMPEU,2oficiopompeu@gmail.com,2024-01-12,MARIA FRANCISCA DE CAMPOS MACIEL,-
03.273-0,16/11/1963,Serviço Notarial do 2º Ofício,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,JANAUBA,contato@cartoriojanauba.com.br,2024-07-04,DENIO PINHEIRO DE CARVALHO,-
03.275-5,28/01/1918,TABELIONATO DE NOTAS E PROTESTO DE TÍTULOS DE BOTELHOS - MG,Oficializada,Notas / Protesto de Títulos,Ativo,PROVIDO,12/07/2010,MG,BOTELHOS,junqueira95@hotmail.com,2024-07-15,VIRGÍNIA SILVEIRA JUNQUEIRA DO AMARAL,ACKSA SILVA PEREIRA
03.276-3,27/01/1958,2º Tabelionato de Notas da Comarca de Corinto-MG,Oficializada,Notas,Ativo,PROVIDO,10/06/2021,MG,CORINTO,cart2notascto@gmail.com,2018-07-04,LUCILENE GONÇALVES SILVEIRA,TADEU FRANCISCO BRAGA
03.277-1,22/05/1885,2º Tabelionato de Notas,Privatizada,Notas,Ativo,PROVIDO,04/06/2021,MG,LIMA DUARTE,cartorio2oficiold@hotmail.com,2014-02-18,MARCINEI RIBEIRO LUIZ STEFANINI,-
03.278-9,27/07/1929,CARTÓRIO DO 2º OFÍCIO,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,ARAXÁ,cartorio2notasaraxa@gmail.com,2024-07-18,REGINA MARIA DE LIMA CHAVES,SIMONE BARRETO MOTA ALVES
03.279-7,02/01/1995,2º TABELIONATO DE NOTAS DE ARINOS,Privatizada,Notas,Ativo,PROVIDO,04/06/2021,MG,ARINOS,tabelionato2arinos@gmail.com,2024-07-15,LUIZ ROBERTO DE SOUZA FILHO,-
03.280-5,17/07/1925,2º Tabelionato de Notas de Conquista,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,CONQUISTA,ivanamb2@hotmail.com,2024-07-05,IVANA MARIA BRIGAGAO,-
03.282-1,08/06/1956,2º TABELIONATO DE PROTESTO DE TÍTULOS,Privatizada,Protesto de Títulos,Ativo,VAGO,30/10/2024,MG,JUIZ DE FORA,tabelionatojf@yahoo.com.br,2024-10-24,CARLOS ALBERTO TEIXEIRA DA SILVA,-
03.283-9,17/08/1923,2º TABELIONATO DE PROTESTO DE TÍTULOS DE BELO HORIZONTE,Privatizada,Protesto de Títulos,Ativo,PROVIDO,05/10/2021,MG,BELO HORIZONTE,aurenice2bh@gmail.com,2024-07-22,AURENICE DA MOTA TEIXEIRA,-
03.284-7,12/12/1888,Oficio do Registro Civil e Tabelionato de Notas de Carmo da Cachoeira,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,CARMO DA CACHOEIRA,cartorioregistrocivil@yahoo.com.br,2024-07-10,ELIZABETH VILELA MACIEL,DIEGO VILELA MACIEL SILVA
03.285-4,10/06/1927,3º CARTORIO DE NOTAS,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,SANTOS DUMONT,terceirocartoriosd@gmail.com,2024-07-23,ALCEMIR DIVINO MORAIS,ANDERSON PIZZIOLO DE OLIVEIRA
03.286-2,04/08/1952,3° Tabelionato de Notas,Privatizada,Notas,Ativo,VAGO,14/03/2025,MG,SABARA,cartoriodesabara@gmail.com,2025-03-12,PATRíCIA APARECIDA MACIEL,-
03.288-8,14/01/1955,3º Tabelionato de Notas de Manhumirim,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,MANHUMIRIM,notas3manhumirim@hotmail.com,2024-07-16,FABRICIO ROGER ARLINDO DE OLIVEIRA,-
03.289-6,23/09/1930,3º Tabelionato de Protesto de Títulos de Belo Horizonte,Privatizada,Protesto de Títulos,Ativo,PROVIDO,03/06/2014,MG,BELO HORIZONTE,3protestobh@3protestobh.com.br,2024-07-15,DOMINGO PIETRANGELO RITONDO,MáRCIA ANTELO RITONDO
03.290-4,19/10/1965,CARTÓRIO BESSA COELHO - 4º Ofício de Notas,Privatizada,Notas,Ativo,PROVIDO,03/02/2011,MG,JUIZ DE FORA,cartorio.bessacoelho@gmail.com,2024-07-04,SEBASTIAO JORGE COELHO,KYVIA MARTINS ALMEIDA COELHO
03.291-2,06/10/1914,4º OFÍCIO DE NOTAS DE BELO HORIZONTE,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,BELO HORIZONTE,4tabelionatobh@gmail.com,1994-11-22,DIRCEU PINTO DE OLIVEIRA,-
03.292-0,21/07/1959,6º Ofício de Registro de Imóveis de Belo Horizonte,Privatizada,Registro de Imóveis,Ativo,PROVIDO,01/09/2025,MG,BELO HORIZONTE,atendimento@6ribh.com.br,2025-04-30,LEONARDO CAIXETA DOS SANTOS,-
03.293-8,28/01/1981,"Registro de Imóveis, Títulos e Documentos e Civil das Pessoas Jurídicas",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,MG,AÇUCENA,acucena.cartorio@hotmail.com,2007-07-23,ABDO AUGUSTO HEMETRIO MEIRA,-
03.295-3,11/10/1890,Ofício do Registro Civil das Pessoas Naturais com Atribuição Notarial de Água Boa,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,ÁGUA BOA,aguaboacartorio@yahoo.com.br,2024-07-11,WALTER CALDEIRA BRANT,OLIVER MACEDO CALDEIRA
03.296-1,12/01/1913,Ofício do Registro Civil e Tabelionato de Notas de Penha do Capim,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,06/05/2025,MG,AIMORES,rcpn.cc@gmail.com,2025-04-01,AMANDA MARCOS RANGEL,-
03.298-7,14/07/1964,Ofício do Registro Civil e Tabelionato de Notas de São Sebastião da Vala,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,12/07/2010,MG,AIMORES,cartorio64@hotmail.com,2024-07-12,MARCIA APARECIDA MAURICIO,-
03.299-5,15/12/1949,Ofício do Registro Civil e Tabelionato de Notas de Conceição do Capim,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,05/05/2025,MG,AIMORES,rcpn.cc@gmail.com,2024-08-06,AMANDA MARCOS RANGEL,-
03.300-1,01/01/1939,ALMENARA CARTÓRIO DE PROTESTOS,Oficializada,Protesto de Títulos,Ativo,PROVIDO,12/07/2010,MG,ALMENARA,leandreroesberg@hotmail.co,2024-07-22,OLGA LEANDRE ROESBERG MENDES,MARIA ELVIRA ROESBERG MENDES DE MENEZES
03.301-9,03/06/1963,AMPARO DO SERRA CARTORIO DE PAZ E REGISTRO CIVIL,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,03/02/2011,MG,AMPARO DO SERRA,fernandocezarpereira56@gmail.com,2024-07-14,FERNANDO CÉZAR PEREIRA,-
03.303-5,28/05/1882,Cartório João de Faria Pereira,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,ANTONIO CARLOS,rcpnantoniocarlosmg@gmail.com,2024-07-03,JOAO FARIA CABRAL,-
03.304-3,01/07/1870,Araxá Cartorio de Registro de Imóveis,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,MG,ARAXÁ,riaraxa@gmail.com,1994-04-15,OLAVO DE CARVALHO JUNIOR,VITóRIA REZENDE DE CARVALHO
03.305-0,12/12/1888,ARCOS CARTÓRIO DO REG.CIVIL DAS PES.NAT.,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,ARCOS,serventia@registrocivilarcos.org,2024-07-09,ÁUREA DE ASSIS TEIXEIRA,LEILA MARIA DE ASSIS SIMõES COUTO
03.306-8,06/06/1950,ARCOS CARTÓRIO REGISTRO DE PROTESTO,Privatizada,Protesto de Títulos,Ativo,PROVIDO,12/07/2010,MG,ARCOS,arcosprotestos@hotmail.com,2024-07-03,MARIA HELENA DOS SANTOS MATIAS,LIDIANE DE OLIVEIRA SANTOS
03.307-6,18/08/1865,Baependi Cartório de Registro de Imóveis,Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,MG,BAEPENDI,isaiaspagliarini@gmail.com,2002-12-28,ISAIAS FARIA PAGLIARINI,-
03.308-4,12/07/1954,Ofício do Registro Civil e Tabelionato de Notas do Distrito de Baguari,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,04/06/2024,MG,GOVERNADOR VALADARES,rcpnbaguari@hotmail.com,2024-08-02,RENATO GUERHART LUKSCHAL LOMEU,-
03.309-2,15/06/1885,CARTÓRIO DO 1º OFÍCIO DE NOTAS,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,BAMBUI,cartorionotasbambui@ymail.com,1967-06-08,INDALECIO ALVAREZ PEREZ,STHEFAN ALVAREZ PEREZ DE SOUSA
03.310-0,09/01/1803,Barbacena Cartório Segundo Ofício de Notas,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,BARBACENA,adminstrativo@cartoriobatista.com.br,1983-03-11,MAURíCIO CARLOS BATISTA,TEREZA CRISTINA BATISTA
03.311-8,17/04/1879,Belo Horizonte Cartorio de Paz e Registro Civil 1 Subd MG,Privatizada,Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,BELO HORIZONTE,contato@primeirocivilbh.com.br,2024-07-15,JOSE AUGUSTO SILVEIRA,JOSé AUGUSTO SILVEIRA JúNIOR
03.312-6,02/01/1965,Belo Horizonte Cartório do 3º Ofício de Notas,Oficializada,Notas,Ativo,PROVIDO,12/07/2010,MG,BELO HORIZONTE,cartorio@cartoriotriginelli.com.br,2024-02-05,DARLENE SILVA TRIGINELLI,MARCELO AUGUSTO TRIGINELLI
03.313-4,23/09/1930,3º Ofício de Registro de Imóveis de Belo Horizonte,Privatizada,Registro de Imóveis,Ativo,PROVIDO,04/06/2021,MG,BELO HORIZONTE,atendimento@3ribh.com,2024-07-03,MATHEUS CAMPOLINA MOREIRA,-
03.314-2,07/01/1949,Município de Belo Oriente - Ofício de Registro Civil das Pessoas Naturais com Atribuições Notariais,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,03/06/2024,MG,BELO ORIENTE,cartoriobelooriente@yahoo.com.br,2024-06-03,DALVA DE OLIVEIRA DOS SANTOS,-
03.315-9,20/12/1927,"Registro de Imóveis, Títulos e Documentos e Civil das Pessoas Jurídicas de Bicas",Oficializada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,MG,BICAS,ribicas@hotmail.com,2024-07-04,ALPHEU JOSé MACHADO,LAILA MARIA MACHADO STEPHANE
03.316-7,29/10/1896,BOCAIÚVA - CARTÓRIO DO REGISTRO DE IMÓVEIS,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,MG,BOCAIUVA,cribocaiuva@gmail.com,2003-01-06,HÉLIO FRANCISCO SANTOS DAS ALMAS,-
03.318-3,15/11/1898,Ofício do Registro Civil com Atribuição Notarial de Borba Gato,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,24/02/2025,MG,FERROS,registrocivilferros@gmail.com,2025-02-11,BENEDITO ORLANDO DE OLIVEIRA,-
03.319-1,04/06/1892,CARTÓRIO BRÁS PIRES - REGISTRO CIVIL E TABELIONATO DE NOTAS,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,03/06/2024,MG,BRAS PIRES,cartoriobraspires@gmail.com,2024-07-04,FERNANDO OTAVIO FAGUNDES,EDUARDA BATISTA VEIGA
03.321-7,01/11/1955,Ofício de Registro Civil e Tabelionato de Notas do Distrito de Brejo Bonito/MG,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,03/06/2014,MG,CRUZEIRO DA FORTALEZA,cartoriodanilo@gmail.com,2024-07-14,DANILO RODRIGUES ROSA,PEDRO ELIAS BARCELOS SILVA
03.322-5,12/01/1863,Oficio do Registro Civil e Tabelionato de Notas de Joanésia,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,JOANESIA,luizshm@yahoo.com.br,2024-05-08,LUIZ SUDáRIO HEMéTRIO DE MENEZES,-
03.323-3,01/04/1963,Ofício de Registro Civil das Pessoas Naturais com Atribuição Notarial de Cachoeira da Prata,Oficializada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,24/06/2025,MG,CACHOEIRA DA PRATA,cartoriocachoeira.prata@gmail.com,2025-06-23,VIVIANE MICHELI GREGóRIO,SAMANTA MACIEL FRANçA
03.324-1,18/09/1978,"Registro de Imóveis, Títulos e Documentos e Civil das Pessoas Jurídicas de Cachoeira de Minas",Privatizada,Registro de Imóveis / Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,PROVIDO,12/07/2010,MG,CACHOEIRA DE MINAS,cartoriocachoeira@hotmail.com,2004-08-06,DANIEL GONZAGA GIMENES,-
03.325-8,07/03/1892,2º Tabelionato de Notas e Protesto de Títulos de Caeté,Privatizada,Notas / Protesto de Títulos,Ativo,PROVIDO,04/09/2025,MG,CAETE,cartorio2notascaete@gmail.com,2024-03-03,WILSON COELHO MENDES,RAQUEL CRISTINA STEHLING MAGALHÃES
03.326-6,07/03/1892,Registro de Títulos e Documentos e Civil das Pessoas Jurídicas da Comarca de Campo Belo/MG,Oficializada,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Ativo,VAGO,06/01/2025,MG,CAMPO BELO,rtdpjcampobelo@gmail.com,2025-01-03,VICTOR HUGO DIAS BARROS,JULIANA PEREIRA DA SILVA DIAS BARROS
03.327-4,28/09/1897,Campo Belo Cartório do 2º Ofício de Notas,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,CAMPO BELO,cartoriomassote@cartoriomassote.com.br,1976-05-06,GILBERTO MASSOTE,ANA MARIA ARAúJO PINHEIRO
03.328-2,27/06/1892,Campo Belo Cartório Registro de Imóveis- Maia Rios,Privatizada,Registro de Imóveis,Ativo,PROVIDO,12/07/2010,MG,CAMPO BELO,regimocb@uol.com.br,2024-07-11,JOSéLIA LEITE MAIA RIOS,ROBERTA ASCEF CAZARINI
03.329-0,27/07/1925,CAMPO DO MEIO CARTÓRIO DO REGISTRO CIVIL E TABELIONATO,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,PROVIDO,12/07/2010,MG,CAMPO DO MEIO,clodomiromorais@gmail.com,2024-07-09,CLODOMIRO CLEBER MORAIS,TâNIA ROCHA MORAIS ALMEIDA
03.330-8,16/02/1981,Ofício do Registro Civil com Atribuição Notarial de Campo Florido,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,08/10/2015,MG,CAMPO FLORIDO,cartorio.cf@hotmail.com,2024-07-10,SANDRA RIBEIRO BORGES,MICHELE MELO DE ALENCAR
03.333-2,21/01/1994,CAPINÓPOLIS CARTÓRIO DO SEGUNDO TABELIONATO,Privatizada,Notas,Ativo,PROVIDO,12/07/2010,MG,CAPINOPOLIS,tabelionatocapinopolis@yahoo.com.br,2024-07-10,VANESSA LEAL BRANQUINHO,-
03.334-0,17/12/1938,Carandaí Cartório 2º Ofício,Oficializada,Notas,Ativo,PROVIDO,27/08/2010,MG,CARANDAI,cartoriosilveiraassis@gmail.com,1990-01-30,RINALDO DA SILVEIRA ASSIS,-
03.335-7,15/05/1956,Cartório Eloisa Rios,Privatizada,Notas / Registro Civil das Pessoas Naturais e de Interdições e Tutelas,Ativo,VAGO,05/06/2019,MG,CEDRO DO ABAETE,cartoriocedrodoabaete@yahoo.com.br,2024-07-11,ELOISA RIOS DE BRITO BORGES,-
